ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
	SNORD3A/U3	Increased	BRCA, LUAD, Sarcoma, BLCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312328/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/ https://www.aimspress.com/article/10.3934/mbe.2021389
	SNORD3C	Decreased	HCC, CACX																	https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
	SNORD3D	Decreased	HCC, CACX																	https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
	SNORD41	Increased	BCBM																	https://pubmed.ncbi.nlm.nih.gov/29287594/
	SNORD42	Increased	LC																	https://pubmed.ncbi.nlm.nih.gov/31052265/
	SNORD42A	Increased	Leukemia																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD43/RNU43/U43	Increased	AML																	https://pubmed.ncbi.nlm.nih.gov/28650479/
	SNORD43/U43/RNU43	Decreased	BRCA, CLL																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068486/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6957689/
	SNORD44/U44/RNU44	Decreased	BRCA, HCC, GBM																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068486/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8526181/
	SNORD46/U46/U40/RNU40/RNU46	Increased 	BCP-ALL, BRCA, LC, Sarcoma, Multiple*																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9500313/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://pubmed.ncbi.nlm.nih.gov/31052265/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
	SNORD47/RNU47/U47	Decreased/Increased	GBM																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5546453/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8526181/
	SNORD48/U48/RNU48	Decreased	BRCA, NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068486/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3832415/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD49A/U49A		BLCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350589/
	SNORD50/SNORD50A/U50/RNU50	Decreased	BRCA, PCa, CRC, Multiple*																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2923223/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2854654/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5324971/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD50B/U50B  	Decreased	CLL, BRCA, Multiple*																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORD50D	Decreased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD52	Increased	HCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9454744/
	SNORD53	Increased	BCBM																	https://pubmed.ncbi.nlm.nih.gov/29287594/
	SNORD55	Increased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919130/
	SNORD56	Decreased	CLL																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD57	Increased	CRC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962485/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962485/
	SNORD58B	Decreased	LC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD59A/U59/RNU59	Decreased	PCa																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627319/
	SNORD59B	Decreased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD60	Increased	LUAD, ccRCC																	https://pubmed.ncbi.nlm.nih.gov/35711521/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	SNORD62B		Sarcoma																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007
	SNORD63	Increased/Decreased	HCC, ccRCC, BRCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9454744/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9524901/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORD64/HBII-13	Increased	BCP																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
	SNORD65	Increased	HCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD66/HBII-142	Increased	NSCLC, ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8980040/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/
	SNORD67/HBII-166	Increased	BRCA, CRC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3832415/ https://www.sciencedirect.com/science/article/pii/S0344033819330158?via%3Dihub https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORD7	Decreased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD71/HBII-239	Increased/Decreased	PTCL, BRCA																	https://ashpublications.org/blood/article/120/19/3997/30664/Small-nucleolar-RNA-expression-profiling https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORD72	Increased	HCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD73A	Decreased	LC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD73B	Decreased	NSCLC, LGG																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/
	SNORD74/U74/Z18	Increased	AML																	https://pubmed.ncbi.nlm.nih.gov/28650479/
	SNORD75	Increased/Decreased	GBC, LC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8699045/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD76/U76	Increased/Decreased	HCC, GBM, NSCLC, ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5390076/ https://pubmed.ncbi.nlm.nih.gov/28578939/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD77	Increased	CRC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD78	Increased	NSCLC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD78/U78	Increased	NSCLC, PCa, HNSCC, CRC, ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472183/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7243338/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD81	Decreased	LC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD82/RNU82/U82/Z25	Decreased	PCa																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627319/
	SNORD83A/RNU83A/U83A	Increased	NSCLC																	https://pubmed.ncbi.nlm.nih.gov/34842456/
	SNORD86	Increased	CRC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD87/HBII-276	Increased	CRC, UM																	https://pubmed.ncbi.nlm.nih.gov/30626446/ https://pubmed.ncbi.nlm.nih.gov/30662328/ https://pubmed.ncbi.nlm.nih.gov/30569172/
	SNORD89	Increased/Decreased	EC, OC, BRCA, PCa																	https://pubmed.ncbi.nlm.nih.gov/35790714/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://pubmed.ncbi.nlm.nih.gov/31395064/ https://www.sciencedirect.com/science/article/pii/S1040842820303462?via%3Dihub
	SNORD9	Increased 	Multiple*																	https://pubmed.ncbi.nlm.nih.gov/29141226/
	SNORD91A	Increased	LGG																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/
	SNORD91B	Increased	HCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
	SNORD92/HBII-316	Increased 	GC																	https://pubmed.ncbi.nlm.nih.gov/31552164/
	SNORD93	Increased	ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	SNORD94/U94	Increased	OS, BRCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5695086/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	SNORD96A	Increased	ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	SNORD97	Increased/Decreased	BRCA, CC, HCC, CACX																	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8615616/ https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub https://www.sciencedirect.com/science/article/pii/S0888754318306682?via%3Dihub
	SNORD98/HBII-419	Increased	LC																	https://pubmed.ncbi.nlm.nih.gov/31052265/
	SNORD99	Increased	ccRCC, BRCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
	snoU2_19	Increased	HCC																	https://www.sciencedirect.com/science/article/pii/S0006291X1830843X?via%3Dihub
	snoZ196	Increased	ccRCC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	TIIsno	Decreased	CC																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8844792/
	U50A	Increased	BRCA																	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8699759/
